data,ano,mes,dia,precipitacao_mm,temperatura_c,umidade_percent,vento_kmh,pressao_hpa,estacao,dia_ano,mes_seno,mes_cosseno,dia_semana,fim_semana,precip_lag_1,temp_lag_1,umidade_lag_1,precip_lag_2,temp_lag_2,umidade_lag_2,precip_lag_3,temp_lag_3,umidade_lag_3,precip_lag_7,temp_lag_7,umidade_lag_7,precip_media_3d,temp_media_3d,umidade_media_3d,precip_media_7d,temp_media_7d,umidade_media_7d,precip_media_14d,temp_media_14d,umidade_media_14d,temp_tendencia,precip_tendencia,fen_El Niño Forte,fen_El Niño Fraco,fen_El Niño Moderado,fen_La Niña Forte,fen_La Niña Fraca,fen_La Niña Moderada,fen_Neutro,estacao_cod,chuva_forte
2016-01-08,2016,1,8,16.8,26.3,73.5,15.2,1010.8,Transição,8,0.49999999999999994,0.8660254037844387,4,0,41.4,26.7,68.7,14.4,27.9,72.4,29.7,27.5,69.9,59.4,26.7,69.6,24.2,26.966666666666665,71.53333333333335,26.657142857142855,27.12857142857143,68.27142857142857,30.75,27.075,68.4375,-0.3999999999999986,-24.599999999999998,True,False,False,False,False,False,False,1,1
2016-01-09,2016,1,9,91.1,26.8,67.6,21.8,1014.4,Transição,9,0.49999999999999994,0.8660254037844387,5,1,16.8,26.3,73.5,41.4,26.7,68.7,14.4,27.9,72.4,35.2,27.2,63.4,49.76666666666666,26.600000000000005,69.93333333333334,34.642857142857146,27.071428571428573,68.87142857142858,37.455555555555556,27.044444444444444,68.34444444444445,0.5,74.3,True,False,False,False,False,False,False,1,1
2016-01-10,2016,1,10,59.6,27.3,67.7,10.9,1015.1,Transição,10,0.49999999999999994,0.8660254037844387,6,1,91.1,26.8,67.6,16.8,26.3,73.5,41.4,26.7,68.7,20.8,27.1,57.3,55.83333333333332,26.8,69.60000000000001,40.18571428571429,27.099999999999998,70.35714285714286,39.67,27.07,68.28,0.5,-31.499999999999993,True,False,False,False,False,False,False,1,1
2016-01-11,2016,1,11,39.8,27.0,71.7,15.0,1010.7,Transição,11,0.49999999999999994,0.8660254037844387,0,0,59.6,27.3,67.7,91.1,26.8,67.6,16.8,26.3,73.5,28.3,27.2,72.7,63.5,27.033333333333335,69.0,41.82857142857142,27.071428571428573,70.21428571428571,39.68181818181818,27.063636363636363,68.5909090909091,-0.3000000000000007,-19.800000000000004,True,False,False,False,False,False,False,1,1
2016-01-12,2016,1,12,84.2,28.9,68.9,14.6,1014.0,Transição,12,0.49999999999999994,0.8660254037844387,1,0,39.8,27.0,71.7,59.6,27.3,67.7,91.1,26.8,67.6,29.7,27.5,69.9,61.19999999999999,27.733333333333334,69.43333333333334,49.61428571428571,27.271428571428572,70.07142857142858,43.39166666666667,27.21666666666667,68.61666666666666,1.8999999999999986,44.400000000000006,True,False,False,False,False,False,False,1,1
2016-01-13,2016,1,13,13.8,25.3,69.7,14.2,1011.1,Transição,13,0.49999999999999994,0.8660254037844387,2,0,84.2,28.9,68.9,39.8,27.0,71.7,59.6,27.3,67.7,14.4,27.9,72.4,45.93333333333333,27.066666666666666,70.10000000000001,49.528571428571425,26.900000000000002,69.68571428571428,41.11538461538461,27.069230769230767,68.7,-3.599999999999998,-70.4,True,False,False,False,False,False,False,1,1
2016-01-14,2016,1,14,42.1,26.9,75.0,15.9,1007.0,Transição,14,0.49999999999999994,0.8660254037844387,3,0,13.8,25.3,69.7,84.2,28.9,68.9,39.8,27.0,71.7,41.4,26.7,68.7,46.69999999999999,27.03333333333333,71.2,49.628571428571426,26.928571428571427,70.58571428571429,41.18571428571429,27.057142857142857,69.15,1.5999999999999979,28.3,True,False,False,False,False,False,False,1,1
2016-01-15,2016,1,15,73.3,28.1,66.7,13.5,1010.7,Transição,15,0.49999999999999994,0.8660254037844387,4,0,42.1,26.9,75.0,13.8,25.3,69.7,84.2,28.9,68.9,16.8,26.3,73.5,43.06666666666666,26.766666666666666,70.46666666666665,57.699999999999996,27.185714285714287,69.61428571428571,42.17857142857143,27.157142857142855,68.94285714285715,1.2000000000000028,31.199999999999996,True,False,False,False,False,False,False,1,1
2016-01-16,2016,1,16,101.1,27.0,74.9,25.0,1016.2,Transição,16,0.49999999999999994,0.8660254037844387,5,1,73.3,28.1,66.7,42.1,26.9,75.0,13.8,25.3,69.7,91.1,26.8,67.6,72.16666666666667,27.333333333333332,72.2,59.128571428571426,27.214285714285715,70.65714285714286,46.885714285714286,27.142857142857142,69.76428571428572,-1.1000000000000014,27.799999999999997,True,False,False,False,False,False,False,1,1
2016-01-17,2016,1,17,10.9,29.2,72.4,16.0,1010.9,Transição,17,0.49999999999999994,0.8660254037844387,6,1,101.1,27.0,74.9,73.3,28.1,66.7,42.1,26.9,75.0,59.6,27.3,67.7,61.76666666666665,28.099999999999998,71.33333333333333,52.17142857142857,27.485714285714288,71.32857142857144,46.17857142857143,27.292857142857144,70.84285714285714,2.1999999999999993,-90.19999999999999,True,False,False,False,False,False,False,1,1
2016-01-18,2016,1,18,21.8,28.3,67.2,14.2,1009.3,Transição,18,0.49999999999999994,0.8660254037844387,0,0,10.9,29.2,72.4,101.1,27.0,74.9,73.3,28.1,66.7,39.8,27.0,71.7,44.599999999999994,28.166666666666668,71.50000000000001,49.60000000000001,27.671428571428574,70.6857142857143,45.714285714285715,27.37142857142857,70.45,-0.8999999999999986,10.9,True,False,False,False,False,False,False,1,1
2016-01-19,2016,1,19,60.9,28.9,80.7,14.5,1011.4,Transição,19,0.49999999999999994,0.8660254037844387,1,0,21.8,28.3,67.2,10.9,29.2,72.4,101.1,27.0,74.9,84.2,28.9,68.9,31.2,28.8,73.43333333333334,46.271428571428565,27.67142857142857,72.37142857142858,47.94285714285714,27.47142857142857,71.22142857142858,0.5999999999999979,39.099999999999994,True,False,False,False,False,False,False,1,1
2016-01-20,2016,1,20,60.8,28.9,63.7,19.4,1015.7,Transição,20,0.49999999999999994,0.8660254037844387,2,0,60.9,28.9,80.7,21.8,28.3,67.2,10.9,29.2,72.4,13.8,25.3,69.7,47.83333333333332,28.7,70.53333333333333,52.98571428571429,28.185714285714283,71.51428571428572,51.25714285714286,27.54285714285714,70.60000000000001,0.0,-0.10000000000000142,True,False,False,False,False,False,False,1,1
2016-01-21,2016,1,21,44.6,27.9,61.9,22.3,1016.0,Transição,21,0.49999999999999994,0.8660254037844387,3,0,60.8,28.9,63.7,60.9,28.9,80.7,21.8,28.3,67.2,42.1,26.9,75.0,55.43333333333333,28.566666666666663,68.76666666666667,53.34285714285714,28.328571428571426,69.64285714285714,51.48571428571428,27.628571428571426,70.11428571428571,-1.0,-16.199999999999996,True,False,False,False,False,False,False,1,1
2016-01-22,2016,1,22,27.0,28.4,74.3,18.3,1014.8,Transição,22,0.49999999999999994,0.8660254037844387,4,0,44.6,27.9,61.9,60.8,28.9,63.7,60.9,28.9,80.7,73.3,28.1,66.7,44.133333333333326,28.399999999999995,66.63333333333333,46.72857142857142,28.37142857142857,70.72857142857143,52.214285714285715,27.77857142857143,70.17142857142858,0.5,-17.6,True,False,False,False,False,False,False,1,1
2016-01-23,2016,1,23,26.1,28.5,66.8,23.5,1013.6,Transição,23,0.49999999999999994,0.8660254037844387,5,1,27.0,28.4,74.3,44.6,27.9,61.9,60.8,28.9,63.7,101.1,27.0,74.9,32.56666666666666,28.266666666666666,67.66666666666667,36.01428571428572,28.585714285714285,69.57142857142857,47.57142857142857,27.900000000000002,70.11428571428571,0.10000000000000142,-0.8999999999999986,True,False,False,False,False,False,False,1,1
2016-01-24,2016,1,24,66.1,26.8,72.9,16.2,1011.6,Transição,24,0.49999999999999994,0.8660254037844387,6,1,26.1,28.5,66.8,27.0,28.4,74.3,44.6,27.9,61.9,10.9,29.2,72.4,39.73333333333333,27.900000000000002,71.33333333333333,43.9,28.24285714285714,69.64285714285714,48.035714285714285,27.864285714285717,70.4857142857143,-1.6999999999999993,39.99999999999999,True,False,False,False,False,False,False,1,1
2016-01-25,2016,1,25,43.9,27.6,71.7,14.0,1014.3,Transição,25,0.49999999999999994,0.8660254037844387,0,0,66.1,26.8,72.9,26.1,28.5,66.8,27.0,28.4,74.3,21.8,28.3,67.2,45.36666666666665,27.633333333333336,70.46666666666665,47.05714285714286,28.142857142857142,70.28571428571429,48.32857142857143,27.907142857142855,70.4857142857143,0.8000000000000007,-22.199999999999996,True,False,False,False,False,False,False,1,1
2016-01-26,2016,1,26,39.4,28.3,68.5,19.5,1017.3,Transição,26,0.49999999999999994,0.8660254037844387,1,0,43.9,27.6,71.7,66.1,26.8,72.9,26.1,28.5,66.8,60.9,28.9,80.7,49.79999999999999,27.566666666666666,71.03333333333332,43.98571428571429,28.057142857142857,68.54285714285713,45.12857142857143,27.86428571428571,70.45714285714287,0.6999999999999993,-4.5,True,False,False,False,False,False,False,1,1
2016-01-27,2016,1,27,31.1,28.5,73.3,12.2,1016.1,Transição,27,0.49999999999999994,0.8660254037844387,2,0,39.4,28.3,68.5,43.9,27.6,71.7,66.1,26.8,72.9,60.8,28.9,63.7,38.133333333333326,28.133333333333336,71.16666666666667,39.74285714285714,28.0,69.91428571428571,46.364285714285714,28.092857142857145,70.71428571428571,0.1999999999999993,-8.299999999999997,True,False,False,False,False,False,False,1,1
2016-01-28,2016,1,28,67.8,27.7,72.4,25.3,1012.0,Transição,28,0.49999999999999994,0.8660254037844387,3,0,31.1,28.5,73.3,39.4,28.3,68.5,43.9,27.6,71.7,44.6,27.9,61.9,46.099999999999994,28.166666666666668,71.39999999999999,43.05714285714286,27.97142857142857,71.41428571428573,48.199999999999996,28.15,70.52857142857142,-0.8000000000000007,36.699999999999996,True,False,False,False,False,False,False,1,1
2016-01-29,2016,1,29,89.9,26.7,60.5,16.8,1009.4,Transição,29,0.49999999999999994,0.8660254037844387,4,0,67.8,27.7,72.4,31.1,28.5,73.3,39.4,28.3,68.5,27.0,28.4,74.3,62.93333333333334,27.633333333333336,68.73333333333333,52.04285714285714,27.728571428571428,69.44285714285715,49.385714285714286,28.050000000000004,70.08571428571427,-1.0,22.10000000000001,True,False,False,False,False,False,False,1,1
2016-01-30,2016,1,30,151.5,27.3,68.4,12.4,1011.0,Transição,30,0.49999999999999994,0.8660254037844387,5,1,89.9,26.7,60.5,67.8,27.7,72.4,31.1,28.5,73.3,26.1,28.5,66.8,103.06666666666668,27.233333333333334,67.1,69.95714285714287,27.557142857142857,69.67142857142856,52.98571428571428,28.071428571428573,69.62142857142858,0.6000000000000014,61.599999999999994,True,False,False,False,False,False,False,1,1
2016-01-31,2016,1,31,31.0,29.9,77.2,24.7,1014.5,Transição,31,0.49999999999999994,0.8660254037844387,6,1,151.5,27.3,68.4,89.9,26.7,60.5,67.8,27.7,72.4,66.1,26.8,72.9,90.8,27.966666666666665,68.69999999999999,64.94285714285715,28.0,70.28571428571429,54.42142857142857,28.12142857142857,69.96428571428571,2.599999999999998,-120.5,True,False,False,False,False,False,False,1,1
2016-02-01,2016,2,1,12.9,27.6,59.7,12.8,1017.0,Chuvosa,32,0.8660254037844386,0.5000000000000001,0,0,31.0,29.9,77.2,151.5,27.3,68.4,89.9,26.7,60.5,43.9,27.6,71.7,65.13333333333334,28.266666666666666,68.43333333333332,60.51428571428572,28.0,68.57142857142857,53.78571428571428,28.071428571428573,69.42857142857143,-2.299999999999997,-18.1,True,False,False,False,False,False,False,2,1
2016-02-02,2016,2,2,59.4,28.9,74.3,18.0,1017.0,Chuvosa,33,0.8660254037844386,0.5000000000000001,1,0,12.9,27.6,59.7,31.0,29.9,77.2,151.5,27.3,68.4,39.4,28.3,68.5,34.43333333333333,28.8,70.39999999999999,63.37142857142857,28.085714285714285,69.39999999999999,53.67857142857143,28.071428571428573,68.97142857142858,1.2999999999999972,46.5,True,False,False,False,False,False,False,2,1
2016-02-03,2016,2,3,16.6,27.8,77.4,15.9,1009.2,Chuvosa,34,0.8660254037844386,0.5000000000000001,2,0,59.4,28.9,74.3,12.9,27.6,59.7,31.0,29.9,77.2,31.1,28.5,73.3,29.633333333333336,28.099999999999998,70.46666666666665,61.300000000000004,27.985714285714288,69.9857142857143,50.521428571428565,27.99285714285714,69.95,-1.0999999999999979,-42.8,True,False,False,False,False,False,False,2,1
2016-02-04,2016,2,4,66.4,29.4,74.6,15.4,1010.6,Chuvosa,35,0.8660254037844386,0.5000000000000001,3,0,16.6,27.8,77.4,59.4,28.9,74.3,12.9,27.6,59.7,67.8,27.7,72.4,47.46666666666667,28.7,75.43333333333334,61.10000000000001,28.228571428571428,70.3,52.07857142857143,28.1,70.85714285714286,1.5999999999999979,49.800000000000004,True,False,False,False,False,False,False,2,1
2016-02-05,2016,2,5,218.2,27.8,68.3,19.6,1012.4,Chuvosa,36,0.8660254037844386,0.5000000000000001,4,0,66.4,29.4,74.6,16.6,27.8,77.4,59.4,28.9,74.3,89.9,26.7,60.5,100.39999999999999,28.333333333333332,73.43333333333332,79.42857142857143,28.385714285714283,71.41428571428571,65.73571428571428,28.057142857142857,70.42857142857143,-1.5999999999999979,151.79999999999998,True,False,False,False,False,False,False,2,1
2016-02-06,2016,2,6,263.3,28.6,68.4,18.4,1011.7,Chuvosa,37,0.8660254037844386,0.5000000000000001,5,1,218.2,27.8,68.3,66.4,29.4,74.6,16.6,27.8,77.4,151.5,27.3,68.4,182.63333333333333,28.599999999999998,70.43333333333332,95.4,28.571428571428573,71.41428571428573,82.67857142857143,28.064285714285713,70.54285714285714,0.8000000000000007,45.10000000000002,True,False,False,False,False,False,False,2,1
2016-02-07,2016,2,7,115.1,28.8,65.7,13.3,1010.9,Chuvosa,38,0.8660254037844386,0.5000000000000001,6,1,263.3,28.6,68.4,218.2,27.8,68.3,66.4,29.4,74.6,31.0,29.9,77.2,198.86666666666667,28.400000000000002,67.46666666666665,107.41428571428573,28.414285714285715,69.77142857142857,86.17857142857143,28.207142857142856,70.02857142857144,0.1999999999999993,-148.20000000000002,True,False,False,False,False,False,False,2,1
2016-02-08,2016,2,8,189.1,27.4,72.4,19.0,1009.9,Chuvosa,39,0.8660254037844386,0.5000000000000001,0,0,115.1,28.8,65.7,263.3,28.6,68.4,218.2,27.8,68.3,12.9,27.6,59.7,189.16666666666666,28.26666666666667,68.83333333333333,132.58571428571432,28.385714285714283,71.58571428571429,96.55,28.192857142857147,70.07857142857144,-1.4000000000000021,74.0,True,False,False,False,False,False,False,2,1
2016-02-09,2016,2,9,98.9,27.4,73.8,26.3,1010.7,Chuvosa,40,0.8660254037844386,0.5000000000000001,1,0,189.1,27.4,72.4,115.1,28.8,65.7,263.3,28.6,68.4,59.4,28.9,74.3,134.36666666666667,27.866666666666664,70.63333333333334,138.22857142857143,28.171428571428574,71.51428571428572,100.8,28.12857142857143,70.45714285714286,0.0,-90.19999999999999,True,False,False,False,False,False,False,2,1
2016-02-10,2016,2,10,237.3,27.8,72.3,14.7,1010.2,Chuvosa,41,0.8660254037844386,0.5000000000000001,2,0,98.9,27.4,73.8,189.1,27.4,72.4,115.1,28.8,65.7,16.6,27.8,77.4,175.1,27.53333333333333,72.83333333333333,169.7571428571429,28.17142857142857,70.78571428571429,115.52857142857144,28.07857142857143,70.38571428571429,0.40000000000000213,138.4,True,False,False,False,False,False,False,2,1
2016-02-11,2016,2,11,113.7,26.4,65.8,23.5,1008.4,Chuvosa,42,0.8660254037844386,0.5000000000000001,3,0,237.3,27.8,72.3,98.9,27.4,73.8,189.1,27.4,72.4,66.4,29.4,74.6,149.96666666666667,27.2,70.63333333333333,176.5142857142857,27.74285714285714,69.52857142857142,118.80714285714285,27.985714285714288,69.91428571428573,-1.4000000000000021,-123.60000000000001,True,False,False,False,False,False,False,2,1
2016-02-12,2016,2,12,162.6,27.4,68.0,9.5,1017.3,Chuvosa,43,0.8660254037844386,0.5000000000000001,4,0,113.7,26.4,65.8,237.3,27.8,72.3,98.9,27.4,73.8,218.2,27.8,68.3,171.19999999999996,27.2,68.69999999999999,168.57142857142858,27.685714285714287,69.4857142857143,124.0,28.035714285714285,70.45,1.0,48.89999999999999,True,False,False,False,False,False,False,2,1
2016-02-13,2016,2,13,44.6,28.6,74.8,14.1,1012.6,Chuvosa,44,0.8660254037844386,0.5000000000000001,5,1,162.6,27.4,68.0,113.7,26.4,65.8,237.3,27.8,72.3,263.3,28.6,68.4,106.96666666666668,27.46666666666667,69.53333333333332,137.32857142857142,27.685714285714283,70.39999999999999,116.36428571428571,28.12857142857143,70.90714285714286,1.2000000000000028,-118.0,True,False,False,False,False,False,False,2,1
2016-02-14,2016,2,14,69.9,29.0,65.6,13.2,1016.1,Chuvosa,45,0.8660254037844386,0.5000000000000001,6,1,44.6,28.6,74.8,162.6,27.4,68.0,113.7,26.4,65.8,115.1,28.8,65.7,92.36666666666666,28.333333333333332,69.46666666666665,130.87142857142857,27.714285714285715,70.38571428571429,119.14285714285714,28.064285714285713,70.07857142857144,0.3999999999999986,25.300000000000004,True,False,False,False,False,False,False,2,1
2016-02-15,2016,2,15,142.2,27.7,68.0,13.1,1011.9,Chuvosa,46,0.8660254037844386,0.5000000000000001,0,0,69.9,29.0,65.6,44.6,28.6,74.8,162.6,27.4,68.0,189.1,27.4,72.4,85.56666666666666,28.433333333333337,69.46666666666665,124.17142857142858,27.75714285714286,69.75714285714285,128.37857142857143,28.071428571428573,70.67142857142856,-1.3000000000000007,72.29999999999998,True,False,False,False,False,False,False,2,1
2016-02-16,2016,2,16,116.4,28.4,68.4,10.8,1009.5,Chuvosa,47,0.8660254037844386,0.5000000000000001,1,0,142.2,27.7,68.0,69.9,29.0,65.6,44.6,28.6,74.8,98.9,27.4,73.8,109.5,28.366666666666664,67.33333333333333,126.67142857142856,27.9,68.98571428571428,132.45,28.035714285714285,70.25,0.6999999999999993,-25.799999999999983,True,False,False,False,False,False,False,2,1
2016-02-17,2016,2,17,117.5,28.4,68.3,33.1,1013.2,Chuvosa,48,0.8660254037844386,0.5000000000000001,2,0,116.4,28.4,68.4,142.2,27.7,68.0,69.9,29.0,65.6,237.3,27.8,72.3,125.36666666666667,28.166666666666668,68.23333333333333,109.55714285714285,27.985714285714288,68.41428571428571,139.65714285714287,28.07857142857143,69.6,0.0,1.0999999999999943,True,False,False,False,False,False,False,2,1
2016-02-18,2016,2,18,364.6,27.9,72.9,10.8,1014.4,Chuvosa,49,0.8660254037844386,0.5000000000000001,3,0,117.5,28.4,68.3,116.4,28.4,68.4,142.2,27.7,68.0,113.7,26.4,65.8,199.5,28.23333333333333,69.86666666666666,145.4,28.2,69.42857142857143,160.95714285714286,27.971428571428568,69.47857142857143,-0.5,247.10000000000002,True,False,False,False,False,False,False,2,1
2016-02-19,2016,2,19,3.0,26.3,69.8,19.1,1014.9,Chuvosa,50,0.8660254037844386,0.5000000000000001,4,0,364.6,27.9,72.9,117.5,28.4,68.3,116.4,28.4,68.4,162.6,27.4,68.0,161.70000000000002,27.53333333333333,70.33333333333333,122.60000000000001,28.04285714285714,69.68571428571428,145.58571428571426,27.86428571428571,69.58571428571427,-1.5999999999999979,-361.6,True,False,False,False,False,False,False,2,0
2016-02-20,2016,2,20,49.8,27.9,66.6,17.5,1008.7,Chuvosa,51,0.8660254037844386,0.5000000000000001,5,1,3.0,26.3,69.8,364.6,27.9,72.9,117.5,28.4,68.3,44.6,28.6,74.8,139.13333333333335,27.366666666666664,69.76666666666665,123.34285714285714,27.942857142857143,68.51428571428572,130.3357142857143,27.814285714285717,69.45714285714286,1.5999999999999979,46.8,True,False,False,False,False,False,False,2,1
2016-02-21,2016,2,21,105.1,27.9,67.7,17.3,1012.9,Chuvosa,52,0.8660254037844386,0.5000000000000001,6,1,49.8,27.9,66.6,3.0,26.3,69.8,364.6,27.9,72.9,69.9,29.0,65.6,52.633333333333326,27.366666666666664,68.03333333333333,128.37142857142857,27.785714285714285,68.81428571428572,129.62142857142857,27.75,69.60000000000001,0.0,55.3,True,False,False,False,False,False,False,2,1
