data,ano,mes,dia,fenomeno_climatico,precipitacao_mm,temperatura_c,umidade_percent,vento_kmh,pressao_hpa,estacao
2016-01-01,2016,1,1,El Niño Forte,59.4,26.7,69.6,17.4,1015.0,Transição
2016-01-02,2016,1,2,El Niño Forte,35.2,27.2,63.4,8.8,1014.9,Transição
2016-01-03,2016,1,3,El Niño Forte,20.8,27.1,57.3,13.3,1013.8,Transição
2016-01-04,2016,1,4,El Niño Forte,28.3,27.2,72.7,17.5,1010.1,Transição
2016-01-05,2016,1,5,El Niño Forte,29.7,27.5,69.9,11.3,1015.3,Transição
2016-01-06,2016,1,6,El Niño Forte,14.4,27.9,72.4,12.0,1007.3,Transição
2016-01-07,2016,1,7,El Niño Forte,41.4,26.7,68.7,19.2,1014.7,Transição
2016-01-08,2016,1,8,El Niño Forte,16.8,26.3,73.5,15.2,1010.8,Transição
2016-01-09,2016,1,9,El Niño Forte,91.1,26.8,67.6,21.8,1014.4,Transição
2016-01-10,2016,1,10,El Niño Forte,59.6,27.3,67.7,10.9,1015.1,Transição
2016-01-11,2016,1,11,El Niño Forte,39.8,27.0,71.7,15.0,1010.7,Transição
2016-01-12,2016,1,12,El Niño Forte,84.2,28.9,68.9,14.6,1014.0,Transição
2016-01-13,2016,1,13,El Niño Forte,13.8,25.3,69.7,14.2,1011.1,Transição
2016-01-14,2016,1,14,El Niño Forte,42.1,26.9,75.0,15.9,1007.0,Transição
2016-01-15,2016,1,15,El Niño Forte,73.3,28.1,66.7,13.5,1010.7,Transição
2016-01-16,2016,1,16,El Niño Forte,101.1,27.0,74.9,25.0,1016.2,Transição
2016-01-17,2016,1,17,El Niño Forte,10.9,29.2,72.4,16.0,1010.9,Transição
2016-01-18,2016,1,18,El Niño Forte,21.8,28.3,67.2,14.2,1009.3,Transição
2016-01-19,2016,1,19,El Niño Forte,60.9,28.9,80.7,14.5,1011.4,Transição
2016-01-20,2016,1,20,El Niño Forte,60.8,28.9,63.7,19.4,1015.7,Transição
2016-01-21,2016,1,21,El Niño Forte,44.6,27.9,61.9,22.3,1016.0,Transição
2016-01-22,2016,1,22,El Niño Forte,27.0,28.4,74.3,18.3,1014.8,Transição
2016-01-23,2016,1,23,El Niño Forte,26.1,28.5,66.8,23.5,1013.6,Transição
2016-01-24,2016,1,24,El Niño Forte,66.1,26.8,72.9,16.2,1011.6,Transição
2016-01-25,2016,1,25,El Niño Forte,43.9,27.6,71.7,14.0,1014.3,Transição
2016-01-26,2016,1,26,El Niño Forte,39.4,28.3,68.5,19.5,1017.3,Transição
2016-01-27,2016,1,27,El Niño Forte,31.1,28.5,73.3,12.2,1016.1,Transição
2016-01-28,2016,1,28,El Niño Forte,67.8,27.7,72.4,25.3,1012.0,Transição
2016-01-29,2016,1,29,El Niño Forte,89.9,26.7,60.5,16.8,1009.4,Transição
2016-01-30,2016,1,30,El Niño Forte,151.5,27.3,68.4,12.4,1011.0,Transição
2016-01-31,2016,1,31,El Niño Forte,31.0,29.9,77.2,24.7,1014.5,Transição
2016-02-01,2016,2,1,El Niño Forte,12.9,27.6,59.7,12.8,1017.0,Chuvosa
2016-02-02,2016,2,2,El Niño Forte,59.4,28.9,74.3,18.0,1017.0,Chuvosa
2016-02-03,2016,2,3,El Niño Forte,16.6,27.8,77.4,15.9,1009.2,Chuvosa
2016-02-04,2016,2,4,El Niño Forte,66.4,29.4,74.6,15.4,1010.6,Chuvosa
2016-02-05,2016,2,5,El Niño Forte,218.2,27.8,68.3,19.6,1012.4,Chuvosa
2016-02-06,2016,2,6,El Niño Forte,263.3,28.6,68.4,18.4,1011.7,Chuvosa
2016-02-07,2016,2,7,El Niño Forte,115.1,28.8,65.7,13.3,1010.9,Chuvosa
2016-02-08,2016,2,8,El Niño Forte,189.1,27.4,72.4,19.0,1009.9,Chuvosa
2016-02-09,2016,2,9,El Niño Forte,98.9,27.4,73.8,26.3,1010.7,Chuvosa
2016-02-10,2016,2,10,El Niño Forte,237.3,27.8,72.3,14.7,1010.2,Chuvosa
2016-02-11,2016,2,11,El Niño Forte,113.7,26.4,65.8,23.5,1008.4,Chuvosa
2016-02-12,2016,2,12,El Niño Forte,162.6,27.4,68.0,9.5,1017.3,Chuvosa
2016-02-13,2016,2,13,El Niño Forte,44.6,28.6,74.8,14.1,1012.6,Chuvosa
2016-02-14,2016,2,14,El Niño Forte,69.9,29.0,65.6,13.2,1016.1,Chuvosa
2016-02-15,2016,2,15,El Niño Forte,142.2,27.7,68.0,13.1,1011.9,Chuvosa
2016-02-16,2016,2,16,El Niño Forte,116.4,28.4,68.4,10.8,1009.5,Chuvosa
2016-02-17,2016,2,17,El Niño Forte,117.5,28.4,68.3,33.1,1013.2,Chuvosa
2016-02-18,2016,2,18,El Niño Forte,364.6,27.9,72.9,10.8,1014.4,Chuvosa
2016-02-19,2016,2,19,El Niño Forte,3.0,26.3,69.8,19.1,1014.9,Chuvosa
2016-02-20,2016,2,20,El Niño Forte,49.8,27.9,66.6,17.5,1008.7,Chuvosa
2016-02-21,2016,2,21,El Niño Forte,105.1,27.9,67.7,17.3,1012.9,Chuvosa
2016-02-22,2016,2,22,El Niño Forte,100.1,27.7,60.0,11.0,1013.6,Chuvosa
2016-02-23,2016,2,23,El Niño Forte,36.7,28.2,78.2,16.6,1016.7,Chuvosa
2016-02-24,2016,2,24,El Niño Forte,377.1,27.1,66.7,25.7,1014.6,Chuvosa
2016-02-25,2016,2,25,El Niño Forte,184.2,28.8,67.3,17.0,1005.5,Chuvosa
2016-02-26,2016,2,26,El Niño Forte,268.1,28.0,72.0,14.7,1007.0,Chuvosa
2016-02-27,2016,2,27,El Niño Forte,9.0,27.9,67.6,11.7,1013.5,Chuvosa
2016-02-28,2016,2,28,El Niño Forte,105.6,27.6,65.6,12.6,1010.3,Chuvosa
2016-02-29,2016,2,29,El Niño Forte,79.1,28.1,56.6,15.5,1012.1,Chuvosa
2016-03-01,2016,3,1,El Niño Forte,72.6,29.1,64.9,12.9,1013.7,Chuvosa
2016-03-02,2016,3,2,El Niño Forte,75.4,27.7,57.0,20.9,1009.0,Chuvosa
2016-03-03,2016,3,3,El Niño Forte,750.4,29.7,55.7,12.7,1009.3,Chuvosa
2016-03-04,2016,3,4,El Niño Forte,61.1,28.5,72.6,22.4,1014.0,Chuvosa
2016-03-05,2016,3,5,El Niño Forte,125.2,27.9,75.9,14.2,1010.0,Chuvosa
2016-03-06,2016,3,6,El Niño Forte,264.9,28.3,68.6,14.4,1011.3,Chuvosa
2016-03-07,2016,3,7,El Niño Forte,67.7,27.6,65.3,19.8,1013.2,Chuvosa
2016-03-08,2016,3,8,El Niño Forte,112.6,29.0,70.5,12.1,1018.1,Chuvosa
2016-03-09,2016,3,9,El Niño Forte,355.9,28.8,64.2,10.0,1010.6,Chuvosa
2016-03-10,2016,3,10,El Niño Forte,107.0,26.8,67.7,11.4,1011.6,Chuvosa
2016-03-11,2016,3,11,El Niño Forte,103.1,27.8,72.2,11.6,1009.8,Chuvosa
2016-03-12,2016,3,12,El Niño Forte,557.3,28.1,69.9,13.4,1013.5,Chuvosa
2016-03-13,2016,3,13,El Niño Forte,359.8,27.9,65.6,14.1,1013.6,Chuvosa
2016-03-14,2016,3,14,El Niño Forte,269.6,28.0,74.0,14.2,1010.0,Chuvosa
2016-03-15,2016,3,15,El Niño Forte,9.9,29.8,69.6,15.0,1014.7,Chuvosa
2016-03-16,2016,3,16,El Niño Forte,119.9,29.3,69.7,14.1,1014.9,Chuvosa
2016-03-17,2016,3,17,El Niño Forte,130.4,27.5,72.2,12.5,1016.5,Chuvosa
2016-03-18,2016,3,18,El Niño Forte,183.6,27.8,66.7,12.1,1010.7,Chuvosa
2016-03-19,2016,3,19,El Niño Forte,90.5,29.5,70.1,29.2,1008.8,Chuvosa
2016-03-20,2016,3,20,El Niño Forte,62.5,29.6,71.3,15.7,1012.5,Chuvosa
2016-03-21,2016,3,21,El Niño Forte,608.6,29.0,70.4,17.1,1012.8,Chuvosa
2016-03-22,2016,3,22,El Niño Forte,63.4,27.8,63.1,15.4,1019.6,Chuvosa
2016-03-23,2016,3,23,El Niño Forte,184.7,27.9,62.9,10.3,1011.3,Chuvosa
2016-03-24,2016,3,24,El Niño Forte,196.2,29.8,66.7,10.7,1012.0,Chuvosa
2016-03-25,2016,3,25,El Niño Forte,33.9,28.9,77.2,22.9,1008.9,Chuvosa
2016-03-26,2016,3,26,El Niño Forte,182.5,27.3,80.9,16.3,1009.7,Chuvosa
2016-03-27,2016,3,27,El Niño Forte,199.7,27.8,67.8,13.6,1016.2,Chuvosa
2016-03-28,2016,3,28,El Niño Forte,18.5,26.4,66.3,14.3,1011.6,Chuvosa
2016-03-29,2016,3,29,El Niño Forte,174.1,29.9,72.7,24.0,1009.9,Chuvosa
2016-03-30,2016,3,30,El Niño Forte,62.1,28.7,61.9,20.0,1014.4,Chuvosa
2016-03-31,2016,3,31,El Niño Forte,51.1,29.3,62.6,19.4,1007.0,Chuvosa
2016-04-01,2016,4,1,El Niño Forte,343.5,29.4,64.5,10.9,1014.3,Chuvosa
2016-04-02,2016,4,2,El Niño Forte,4.8,30.0,69.1,15.5,1014.9,Chuvosa
2016-04-03,2016,4,3,El Niño Forte,106.4,28.4,69.5,10.2,1010.1,Chuvosa
2016-04-04,2016,4,4,El Niño Forte,80.7,28.8,65.3,12.8,1007.1,Chuvosa
2016-04-05,2016,4,5,El Niño Forte,181.0,28.9,69.3,21.8,1009.0,Chuvosa
2016-04-06,2016,4,6,El Niño Forte,142.8,27.3,64.9,16.1,1011.0,Chuvosa
2016-04-07,2016,4,7,El Niño Forte,124.5,27.2,63.4,11.0,1013.7,Chuvosa
2016-04-08,2016,4,8,El Niño Forte,24.3,28.7,63.7,19.9,1013.8,Chuvosa
2016-04-09,2016,4,9,El Niño Forte,55.3,28.4,73.7,13.0,1012.5,Chuvosa
2016-04-10,2016,4,10,El Niño Forte,79.1,30.1,71.5,13.5,1008.7,Chuvosa
2016-04-11,2016,4,11,El Niño Forte,207.6,28.3,67.6,19.4,1015.2,Chuvosa
2016-04-12,2016,4,12,El Niño Forte,130.7,29.5,72.2,18.5,1007.4,Chuvosa
2016-04-13,2016,4,13,El Niño Forte,113.3,28.7,69.4,11.2,1013.3,Chuvosa
2016-04-14,2016,4,14,El Niño Forte,95.2,29.1,68.1,16.1,1007.8,Chuvosa
2016-04-15,2016,4,15,El Niño Forte,165.8,28.1,74.3,12.4,1013.2,Chuvosa
2016-04-16,2016,4,16,El Niño Forte,26.4,27.2,69.3,21.2,1014.1,Chuvosa
2016-04-17,2016,4,17,El Niño Forte,111.5,29.8,79.5,14.4,1007.0,Chuvosa
2016-04-18,2016,4,18,El Niño Forte,13.5,28.2,61.3,12.3,1006.2,Chuvosa
2016-04-19,2016,4,19,El Niño Forte,48.4,28.3,67.8,19.8,1015.5,Chuvosa
2016-04-20,2016,4,20,El Niño Forte,316.1,28.0,64.9,13.6,1010.5,Chuvosa
2016-04-21,2016,4,21,El Niño Forte,115.8,28.0,63.8,18.5,1009.9,Chuvosa
2016-04-22,2016,4,22,El Niño Forte,80.2,30.1,64.9,14.2,1013.6,Chuvosa
2016-04-23,2016,4,23,El Niño Forte,235.5,27.8,61.1,12.9,1009.5,Chuvosa
2016-04-24,2016,4,24,El Niño Forte,106.6,28.7,67.9,23.3,1015.6,Chuvosa
2016-04-25,2016,4,25,El Niño Forte,154.2,30.2,70.9,14.4,1014.8,Chuvosa
2016-04-26,2016,4,26,El Niño Forte,164.1,29.0,73.3,23.2,1010.1,Chuvosa
2016-04-27,2016,4,27,El Niño Forte,159.0,28.6,74.0,12.6,1013.3,Chuvosa
2016-04-28,2016,4,28,El Niño Forte,154.5,28.5,61.2,20.2,1016.5,Chuvosa
2016-04-29,2016,4,29,El Niño Forte,136.1,29.9,67.5,17.4,1012.5,Chuvosa
2016-04-30,2016,4,30,El Niño Forte,165.6,27.6,68.7,13.0,1010.6,Chuvosa
2016-05-01,2016,5,1,El Niño Forte,87.2,29.1,75.8,15.7,1006.9,Chuvosa
2016-05-02,2016,5,2,El Niño Forte,44.1,26.8,70.2,13.8,1015.4,Chuvosa
2016-05-03,2016,5,3,El Niño Forte,211.4,28.7,77.2,11.8,1014.7,Chuvosa
2016-05-04,2016,5,4,El Niño Forte,57.5,30.1,67.6,22.8,1012.8,Chuvosa
2016-05-05,2016,5,5,El Niño Forte,77.4,29.2,71.2,24.4,1015.7,Chuvosa
2016-05-06,2016,5,6,El Niño Forte,113.7,30.4,67.8,10.8,1007.2,Chuvosa
2016-05-07,2016,5,7,El Niño Forte,122.7,27.1,65.7,9.0,1015.1,Chuvosa
2016-05-08,2016,5,8,El Niño Forte,20.1,28.8,68.0,11.6,1013.6,Chuvosa
2016-05-09,2016,5,9,El Niño Forte,267.0,27.0,66.8,13.1,1011.5,Chuvosa
2016-05-10,2016,5,10,El Niño Forte,66.3,29.4,65.1,19.1,1012.8,Chuvosa
2016-05-11,2016,5,11,El Niño Forte,43.2,28.2,71.5,18.1,1010.3,Chuvosa
2016-05-12,2016,5,12,El Niño Forte,194.1,29.0,78.4,13.1,1010.9,Chuvosa
2016-05-13,2016,5,13,El Niño Forte,91.6,28.4,66.4,18.3,1008.9,Chuvosa
2016-05-14,2016,5,14,El Niño Forte,54.4,30.7,76.6,18.3,1008.6,Chuvosa
2016-05-15,2016,5,15,El Niño Forte,124.8,27.3,70.0,19.6,1006.4,Chuvosa
2016-05-16,2016,5,16,El Niño Forte,41.0,29.7,76.4,14.0,1007.1,Chuvosa
2016-05-17,2016,5,17,El Niño Forte,69.8,30.0,64.9,18.1,1013.0,Chuvosa
2016-05-18,2016,5,18,El Niño Forte,73.6,28.5,71.9,8.6,1008.5,Chuvosa
2016-05-19,2016,5,19,El Niño Forte,92.7,29.8,65.7,17.8,1007.3,Chuvosa
2016-05-20,2016,5,20,El Niño Forte,69.2,27.6,73.0,13.8,1013.9,Chuvosa
2016-05-21,2016,5,21,El Niño Forte,18.3,28.5,66.4,31.1,1013.1,Chuvosa
2016-05-22,2016,5,22,El Niño Forte,199.4,28.6,67.6,15.8,1011.6,Chuvosa
2016-05-23,2016,5,23,El Niño Forte,34.4,27.0,72.6,17.8,1005.7,Chuvosa
2016-05-24,2016,5,24,El Niño Forte,475.2,27.9,71.1,11.9,1012.8,Chuvosa
2016-05-25,2016,5,25,El Niño Forte,46.7,29.0,72.4,18.7,1011.9,Chuvosa
2016-05-26,2016,5,26,El Niño Forte,299.2,29.7,73.5,23.3,1008.7,Chuvosa
2016-05-27,2016,5,27,El Niño Forte,247.5,28.1,67.7,17.7,1013.0,Chuvosa
2016-05-28,2016,5,28,El Niño Forte,216.0,29.7,73.9,11.4,1014.2,Chuvosa
2016-05-29,2016,5,29,El Niño Forte,132.3,28.9,67.1,16.1,1008.2,Chuvosa
2016-05-30,2016,5,30,El Niño Forte,4.6,26.9,64.8,11.1,1012.5,Chuvosa
2016-05-31,2016,5,31,El Niño Forte,38.7,30.8,72.9,14.5,1010.6,Chuvosa
2016-06-01,2016,6,1,El Niño Forte,39.6,27.5,73.1,34.9,1014.0,Transição
2016-06-02,2016,6,2,El Niño Forte,94.7,29.3,68.5,15.7,1011.4,Transição
2016-06-03,2016,6,3,El Niño Forte,64.8,28.9,63.1,11.7,1006.3,Transição
2016-06-04,2016,6,4,El Niño Forte,64.4,29.8,63.1,14.9,1009.1,Transição
2016-06-05,2016,6,5,El Niño Forte,77.4,29.3,60.0,18.4,1016.2,Transição
2016-06-06,2016,6,6,El Niño Forte,54.9,28.6,68.6,19.0,1011.1,Transição
2016-06-07,2016,6,7,El Niño Forte,59.8,30.6,61.8,13.1,1014.4,Transição
2016-06-08,2016,6,8,El Niño Forte,27.6,29.3,63.8,31.8,1013.6,Transição
2016-06-09,2016,6,9,El Niño Forte,28.0,28.9,68.2,15.3,1007.4,Transição
2016-06-10,2016,6,10,El Niño Forte,68.2,31.3,64.0,27.0,1014.9,Transição
2016-06-11,2016,6,11,El Niño Forte,126.9,30.5,66.1,15.0,1008.7,Transição
2016-06-12,2016,6,12,El Niño Forte,31.2,28.3,69.2,10.5,1013.4,Transição
2016-06-13,2016,6,13,El Niño Forte,224.0,27.9,76.4,18.2,1012.3,Transição
2016-06-14,2016,6,14,El Niño Forte,38.0,28.2,68.8,10.9,1016.8,Transição
2016-06-15,2016,6,15,El Niño Forte,57.0,29.5,62.5,14.5,1012.2,Transição
2016-06-16,2016,6,16,El Niño Forte,125.3,29.4,69.0,14.6,1013.5,Transição
2016-06-17,2016,6,17,El Niño Forte,77.1,27.8,58.8,18.8,1018.5,Transição
2016-06-18,2016,6,18,El Niño Forte,20.0,29.8,68.4,15.5,1013.7,Transição
